#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------orms------brms------umax------bmax-----divu2m----gg2m------oum------ourms-----oxurms----o2u2m---
  435   1.0415  9.17E-05 6.043E-05 1.638E-03 2.226E-11 8.086E-08 1.099E-02 1.004E+01 5.724E-02 4.520E-02 1.553E-01 2.115E+00 1.34E-10 -3.52E-04  8.03E-02  9.30E-02  1.51E-02
  440   1.0420  9.16E-05 6.278E-05 1.639E-03 2.276E-11 8.195E-08 1.121E-02 1.024E+01 5.726E-02 4.586E-02 1.535E-01 2.183E+00 1.37E-10 -3.83E-04  8.33E-02  9.65E-02  1.63E-02
  445   1.0424  9.15E-05 6.520E-05 1.676E-03 2.324E-11 8.301E-08 1.142E-02 1.043E+01 5.790E-02 4.646E-02 1.596E-01 2.275E+00 1.39E-10 -4.13E-04  8.64E-02  1.00E-01  1.75E-02
  450   1.0429  9.14E-05 6.768E-05 1.693E-03 2.376E-11 8.403E-08 1.163E-02 1.063E+01 5.820E-02 4.693E-02 1.609E-01 2.382E+00 1.43E-10 -4.44E-04  8.95E-02  1.04E-01  1.88E-02
  455   1.0433  9.14E-05 7.022E-05 1.706E-03 2.422E-11 8.501E-08 1.185E-02 1.083E+01 5.842E-02 4.732E-02 1.539E-01 2.464E+00 1.45E-10 -4.76E-04  9.27E-02  1.08E-01  2.02E-02
  460   1.0438  9.13E-05 7.280E-05 1.718E-03 2.466E-11 8.596E-08 1.207E-02 1.102E+01 5.862E-02 4.764E-02 1.521E-01 2.505E+00 1.48E-10 -5.17E-04  9.60E-02  1.11E-01  2.16E-02
  465   1.0442  9.12E-05 7.542E-05 1.731E-03 2.521E-11 8.686E-08 1.228E-02 1.122E+01 5.884E-02 4.795E-02 1.485E-01 2.511E+00 1.51E-10 -5.64E-04  9.93E-02  1.15E-01  2.32E-02
  470   1.0447  9.11E-05 7.808E-05 1.743E-03 2.583E-11 8.774E-08 1.250E-02 1.142E+01 5.905E-02 4.848E-02 1.513E-01 2.498E+00 1.55E-10 -6.11E-04  1.03E-01  1.19E-01  2.48E-02
  475   1.0451  9.10E-05 8.081E-05 1.765E-03 2.654E-11 8.858E-08 1.271E-02 1.162E+01 5.941E-02 4.897E-02 1.555E-01 2.489E+00 1.59E-10 -6.53E-04  1.06E-01  1.23E-01  2.65E-02
  480   1.0456  9.10E-05 8.360E-05 1.782E-03 2.726E-11 8.939E-08 1.293E-02 1.182E+01 5.969E-02 4.942E-02 1.560E-01 2.508E+00 1.64E-10 -7.01E-04  1.10E-01  1.28E-01  2.83E-02
  485   1.0461  9.09E-05 8.647E-05 1.801E-03 2.794E-11 9.018E-08 1.315E-02 1.203E+01 6.002E-02 4.986E-02 1.548E-01 2.573E+00 1.68E-10 -7.39E-04  1.13E-01  1.32E-01  3.02E-02
  490   1.0465  9.08E-05 8.941E-05 1.820E-03 2.861E-11 9.094E-08 1.337E-02 1.223E+01 6.033E-02 5.040E-02 1.556E-01 2.669E+00 1.72E-10 -7.69E-04  1.17E-01  1.36E-01  3.22E-02
  495   1.0470  9.06E-05 9.241E-05 1.831E-03 2.927E-11 9.168E-08 1.359E-02 1.243E+01 6.052E-02 5.101E-02 1.600E-01 2.775E+00 1.76E-10 -8.02E-04  1.20E-01  1.41E-01  3.43E-02
  500   1.0474  9.05E-05 9.546E-05 1.845E-03 2.990E-11 9.240E-08 1.382E-02 1.264E+01 6.074E-02 5.155E-02 1.618E-01 2.874E+00 1.79E-10 -8.43E-04  1.24E-01  1.45E-01  3.66E-02
  505   1.0479  9.04E-05 9.856E-05 1.838E-03 3.041E-11 9.309E-08 1.404E-02 1.284E+01 6.063E-02 5.211E-02 1.532E-01 2.949E+00 1.82E-10 -8.96E-04  1.28E-01  1.50E-01  3.89E-02
  510   1.0483  9.04E-05 1.017E-04 1.843E-03 3.082E-11 9.376E-08 1.426E-02 1.304E+01 6.071E-02 5.267E-02 1.599E-01 2.989E+00 1.85E-10 -9.40E-04  1.32E-01  1.55E-01  4.13E-02
  515   1.0488  9.03E-05 1.048E-04 1.864E-03 3.125E-11 9.439E-08 1.448E-02 1.324E+01 6.106E-02 5.359E-02 1.585E-01 2.999E+00 1.88E-10 -9.84E-04  1.36E-01  1.59E-01  4.38E-02
  520   1.0492  9.02E-05 1.080E-04 1.883E-03 3.173E-11 9.498E-08 1.469E-02 1.344E+01 6.137E-02 5.462E-02 1.632E-01 3.004E+00 1.90E-10 -1.04E-03  1.40E-01  1.64E-01  4.65E-02
  525   1.0497  9.01E-05 1.112E-04 1.896E-03 3.234E-11 9.553E-08 1.491E-02 1.365E+01 6.158E-02 5.550E-02 1.573E-01 3.027E+00 1.94E-10 -1.10E-03  1.44E-01  1.69E-01  4.92E-02
  530   1.0501  9.00E-05 1.145E-04 1.923E-03 3.307E-11 9.605E-08 1.513E-02 1.385E+01 6.202E-02 5.619E-02 1.583E-01 3.085E+00 1.98E-10 -1.18E-03  1.48E-01  1.74E-01  5.21E-02
  535   1.0506  8.99E-05 1.180E-04 1.953E-03 3.379E-11 9.655E-08 1.536E-02 1.406E+01 6.250E-02 5.676E-02 1.601E-01 3.175E+00 2.03E-10 -1.25E-03  1.52E-01  1.79E-01  5.52E-02
  540   1.0510  8.99E-05 1.215E-04 1.953E-03 3.447E-11 9.704E-08 1.559E-02 1.427E+01 6.249E-02 5.716E-02 1.587E-01 3.273E+00 2.07E-10 -1.33E-03  1.57E-01  1.84E-01  5.85E-02
  545   1.0515  8.98E-05 1.251E-04 1.980E-03 3.513E-11 9.751E-08 1.581E-02 1.448E+01 6.293E-02 5.750E-02 1.619E-01 3.357E+00 2.11E-10 -1.40E-03  1.61E-01  1.90E-01  6.19E-02
  550   1.0519  8.98E-05 1.287E-04 1.998E-03 3.584E-11 9.798E-08 1.604E-02 1.470E+01 6.321E-02 5.778E-02 1.636E-01 3.410E+00 2.15E-10 -1.47E-03  1.66E-01  1.95E-01  6.55E-02
